size,price
2.373068499158922577e+02,3.253275431088299025e+06
4.793000086921647949e+02,6.120070192757275887e+06
3.874374555607901129e+02,4.826445311120637693e+06
3.314365633627553507e+02,4.065374220153167844e+06
1.455278289858233336e+02,1.616133284197024535e+06
1.455176985412051067e+02,1.759903581888927147e+06
1.043951171106437812e+02,1.324786155767057789e+06
4.437939812254727485e+02,6.168366782798241824e+06
3.324683049321477029e+02,4.348789391179400496e+06
3.773904826743391254e+02,3.919874883968560956e+06
8.864548760423703300e+01,1.233034818019780330e+06
4.873621379080375959e+02,5.880950570466352627e+06
4.296259091361771425e+02,5.037941351100222208e+06
1.691824264848759753e+02,2.322425900684979744e+06
1.563664862269822606e+02,2.239672670014207717e+06
1.570298941384422164e+02,2.228378665790766943e+06
2.077817420430058633e+02,2.441408629851797596e+06
3.003977012855398812e+02,3.690648883615224622e+06
2.614169078296886255e+02,3.437409422005080618e+06
2.023162388831776184e+02,2.851000982884116936e+06
3.369782157833993779e+02,4.055868036655154079e+06
1.385874214738575745e+02,1.777241444748656126e+06
2.027007523847916275e+02,2.314434725364523474e+06
2.338719741833505168e+02,2.629824716844397597e+06
2.715493933711550767e+02,3.732783703243152704e+06
4.097739037850657269e+02,5.858296803783494979e+06
1.638629885065111011e+02,2.107601646543723065e+06
2.959784641337168978e+02,4.130565752041530795e+06
3.288141189220578440e+02,4.309622326046750881e+06
9.950917334239903767e+01,1.242740408175413730e+06
3.351688377986041019e+02,4.390806447584775276e+06
1.516201319486624470e+02,2.275012970246878453e+06
1.073216690538174021e+02,1.419781202297041658e+06
4.785319256463999409e+02,6.947432640527531505e+06
4.855654538913149167e+02,4.497752821232253686e+06
4.195268862089136519e+02,5.712946625251966529e+06
2.079377830528156892e+02,2.690207314654701389e+06
1.210222878826812263e+02,1.546357769929673988e+06
3.673778711351059201e+02,4.677813506729455665e+06
2.648640473706325338e+02,2.699986292688703164e+06
1.312560586348071183e+02,1.682564657856246224e+06
2.879743022467334868e+02,3.785568933180960361e+06
9.444317886839172616e+01,1.452987804417729611e+06
4.619145688730884558e+02,5.501617591762220487e+06
1.886875922720071230e+02,2.232937068472558632e+06
3.582593594286724397e+02,4.295781542365702800e+06
2.109186519575526120e+02,2.951296337023715954e+06
2.984285688946805521e+02,3.908503412865012418e+06
3.096183173241774398e+02,3.714453560409292579e+06
1.576388713207213641e+02,2.151069045405484270e+06
